Common Name,Botanical Name,Plant Type,Temperature,Sun Exposure,Soil Type,Soil pH2,Soil ph,Humidity,Traits,Advice
Mint,Mentha spp.,Herb,4-16C,"Full, partial","Loamy, moist, well-drained",7,"Acidic, neutral",Up to 20C,"1. A herb that is used in drinks and food
2. A herb that has a strong scent
3. A herb that is typically used as a topping","1. Because mint is an aggressive spreader, keep it separated from your regular garden beds or the plants will consume nutrients and overgrow other plants in the bed. 
2. Growing mint in containers is recommended to keep it contained from spreading rampantly to other areas of your garden. 
3. If you plant mint in pathway crevices and between rocky places in high traffic areas, the mint will release its aromatic scent whenever the leaves are stepped on and crushed."
Spring Onions,Allium fistulosum,Herb,21-27C,Full sun,"Sandy, loamy, well-drained",7,"Acidic, neutral",No issue as long as soil moisture needs are met.,"1. A vegetable that is long
2. A vegetable that is green in colour
3. A fruit that is typically used as a topping","1. If planting in the ground, choose a sunny spot in the garden with well-draining soil. 
2. They also grow well in containers. Be sure to keep weeds away from green onions to avoid competition for soil moisture and nutrients. 
3. A layer of mulch can help keep weeds down."
Hydrangea,Hydrangea macrophylla,Flower,12-16C,Partial sun,Moist,7,neutral,Medium high,"1. A large clump of flowers with a cool pallette 
2. Often used as decorations","1. Drip irrigation prevents excessive water, but avoid overhead irrigation
 2. Avoid direct sunlight to avoid foliage damage
 3. Avoid trimming too much to prevent snipping off the flower buds"
Orchid,Orchidaceae,Flower,10-32C,Full sun,"Grainy, sand like",6,"low acidic, low neutral",High humidity,"1. A flower with a very thin and long stem
2. A difficult plant to care for","1. Orchids love strong light, but not direct light
 2. Orchids need turbulent airflow around the roots
 3. Some orchids are extreamly hard to maintain, so choose easier species
 4. Orchids should be potted in a hanging pot
 5. Humidifiers are needed on dry days"
Morning Glory,Ipomoea purpurea,Flower,10-36C,Full sun,Moist with surface to climb,6,low acidic ,HIgh humidity,"1. A flower with a purple petals and a white middle
2. The stems will often grow and climb on a surface","1. This climber plant needs a wall or surface to grow on
 2. Picking a sunny spot ensure the plant blooms the best
 3. Be careful as the plant is poisonous"
Anthurium,anthurium andraeanum ,Flower,15-30C,Partial shade,Moist,5.5,acidic,Medium high,"1. A red, large flower that resembles a leaf
2. A yellow appendage  stemming fomr the middle of the flower","1. Bright, indirect light is the best, Avoid direct sun
2. Rich but well draining potting mix is best
3. Anthuriums grow on other plants instead of the soil so provide wood or stake for it to climb on
4. They are ready to propagate when 'air roots' can be seen"
Chrysanthemums,Chrysanthemum morifolium,Flower,20-23C,Full sun but indirect,Well drained but moist,7,neutral,HIgh humidity,"1. Yellow flower grown from a single stem
2. Commonly used as tea in asia","1. Chrysanthemums grow best in open, sunny places
2. Well drained, but moisty soil is preferred"
Succulents,Xerophytes,Plant,4-22C,Full sun but indirect,Soil with low water retention,5.5,acidic,low-medium,"1. Small, short plants with no flowers and stems
2. Commonly kept in small pots","1. Succulents need very little water so do not over water them
2. Succulents need to dry out completely between waterings
3. Fast draining soil prevents drowning
4. direct sunlight may damage the leaves"
Croton,Codiaeum variegatum,Plant,13-29C,Full sun but indirect,Moist,5.5,acidic,high humidity,"1. A shrub with very large leaves. 
2. A shrub with leaves with the colors of an autumn palette","1. Higher temperature and humidity will produce better colour
 2.Avoid direct sunlight as it will scorch the leaves
 3. Misting daily will prevent growing of spider mites
 4. Crotons need steady warmth"
Crown Of Thorns,Euphorbia milii,Flower,18-24C,Full sun but indirect,Semi-moist,6,acidic,high humidity,"1. A bundle of flowers that looks like bouquet
2. A plant with a single, thorny stem","1. Water only when an inch of soil is dry
 2.The plant needs at least 3-4 hours of sun everyday
 3. Propagation is more efficient than growing from seed"
Spider Plant,Chlorophytum comosum,Plant,13-27C,Partial shade,Moist,7,neutral,high humidity,"1. A plant with long, thin leaves
2. Plant that has white center and green outline on it's long leaves","1. The plant likes even moisture, not too wet and not too dry
 2. Propagation is needed once 'pups' show to avoid overgrow
 3. Avoid using heavy flouridated and chlorinated water to avoid burning the tips of the leaves"
Aloe Vera,Aloe barbadensis miller,Plant,13-17C,Partial shade,Soil with low water retention,7,neutral,medium humidity,"1. A succulent with thorns on it's leaves
2. A succulent widely used in food and healthcare",1. Keep out of reach of children and pets as the plant has thorns
